=== SHEET: sheet0 ===
EXTERNAL_REFERENCE,SOURCE_ID,USER_ID,PAYMENT_METHOD_TYPE,PAYMENT_METHOD,SITE,TRANSACTION_TYPE,TRANSACTION_AMOUNT,TRANSACTION_CURRENCY,TRANSACTION_DATE,FEE_AMOUNT,SETTLEMENT_NET_AMOUNT,SETTLEMENT_CURRENCY,SETTLEMENT_DATE,REAL_AMOUNT,COUPON_AMOUNT,METADATA
,144292455724,324680147,available_money,available_money,MLA,SETTLEMENT,60000.00,ARS,2026-01-31T16:29:34.000-04:00,0.00,59640.00,ARS,2026-01-31T16:29:35.000-04:00,59640.00,0.00,[{}]
,144290826582,324680147,available_money,available_money,MLA,SETTLEMENT,60000.00,ARS,2026-01-31T16:15:14.000-04:00,0.00,59640.00,ARS,2026-01-31T16:15:14.000-04:00,59640.00,0.00,[{}]
,144290465474,324680147,available_money,available_money,MLA,SETTLEMENT,90000.00,ARS,2026-01-31T16:12:58.000-04:00,0.00,89460.00,ARS,2026-01-31T16:12:58.000-04:00,89460.00,0.00,[{}]
,144288448354,324680147,bank_transfer,cvu,MLA,SETTLEMENT,60000.00,ARS,2026-01-31T15:55:03.000-04:00,0.00,59640.00,ARS,2026-01-31T15:55:03.000-04:00,59640.00,0.00,[{}]
,143609141895,324680147,bank_transfer,cvu,MLA,SETTLEMENT,50000.00,ARS,2026-01-31T15:54:19.000-04:00,0.00,49700.00,ARS,2026-01-31T15:54:20.000-04:00,49700.00,0.00,[{}]
,144286521066,324680147,available_money,available_money,MLA,SETTLEMENT,100000.00,ARS,2026-01-31T15:39:23.000-04:00,0.00,99400.00,ARS,2026-01-31T15:39:24.000-04:00,99400.00,0.00,[{}]
,143606049851,324680147,bank_transfer,cvu,MLA,SETTLEMENT,60000.00,ARS,2026-01-31T15:27:40.000-04:00,0.00,59640.00,ARS,2026-01-31T15:27:40.000-04:00,59640.00,0.00,[{}]
,144278804744,324680147,available_money,available_money,MLA,SETTLEMENT,80000.00,ARS,2026-01-31T14:31:17.000-04:00,0.00,79520.00,ARS,2026-01-31T14:31:17.000-04:00,79520.00,0.00,[{}]
,143588301413,324680147,bank_transfer,cvu,MLA,SETTLEMENT,50000.00,ARS,2026-01-31T12:57:09.000-04:00,0.00,49700.00,ARS,2026-01-31T12:57:10.000-04:00,49700.00,0.00,[{}]
,144251377974,324680147,bank_transfer,cvu,MLA,SETTLEMENT,80000.00,ARS,2026-01-31T11:10:21.000-04:00,0.00,79520.00,ARS,2026-01-31T11:10:22.000-04:00,79520.00,0.00,[{}]
